pairs,Df,SumsOfSqs,F.Model,R2,p.value,p.adjusted,sig,BH_p
Cleared + Scraped + Diaspore vs Diaspore,1,3.051130209084734,11.522577009513315,0.2775014904993338,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore vs Scraped,1,2.6865856746815955,9.21129830397935,0.22907239239942145,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore vs Scraped + Diaspore,1,2.83541312575998,10.512192523869516,0.25323144562468014,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore vs Reference,1,2.649271619642752,11.241603011108104,0.266126335408056,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore + Burned vs Control,1,3.9148204576096988,18.63368882442701,0.3831436453791668,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore + Burned vs Diaspore,1,3.8169484948001173,17.471312916054416,0.375959098629611,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore + Burned vs Scraped,1,3.3592776253280823,13.557752668567536,0.3112592325809127,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore + Burned vs Scraped + Diaspore,1,3.643099524621519,16.183760077059226,0.3504210148774386,0.001,0.066,,0.0014042553191489363
Cleared + Scraped + Diaspore + Burned vs Reference,1,2.271477630813145,11.960583949153397,0.2850433150226622,0.001,0.066,,0.0014042553191489363
Control vs Diaspore,1,0.1105726261788206,0.39443748970561837,0.01843645059120672,0.919,1,,0.94771875
Control vs Scraped,1,0.7315153818515663,2.304125473311113,0.0948038832272045,0.032,1,,0.0384
Control vs Scraped + Diaspore,1,0.5332718473898711,1.8608710672536495,0.07798839623283849,0.077,1,,0.09075
Control vs Reference,1,3.116881680017081,13.06439960821295,0.37258301166385716,0.001,0.066,,0.0014042553191489363
Diaspore vs Scraped,1,0.5028205797413052,1.5047258329707152,0.06686266005365885,0.149,1,,0.16955172413793104
Diaspore vs Scraped + Diaspore,1,0.42343620047539327,1.403131451776582,0.06263104132548904,0.172,1,,0.1924067796610169
Diaspore vs Reference,1,2.9996506692947382,11.926982656670848,0.3622251932718317,0.001,0.066,,0.0014042553191489363
Scraped vs Scraped + Diaspore,1,0.5120783387202721,1.5152253215339537,0.06443592612086917,0.13,1,,0.1505263157894737
Scraped vs Reference,1,2.630884444875195,9.073191434767837,0.29199419228679,0.001,0.066,,0.0014042553191489363
Scraped + Diaspore vs Reference,1,2.8515823935930635,11.007726946305645,0.33348939671647626,0.001,0.066,,0.0014042553191489363
